Original Title,Title on Google Scholar,DOI,Year,Citation Link,Citation Counts on Google Scholar
Implicit Theories of Persuasion,Implicit theories of persuasion,10.1111/j.1468-2958.1997.tb00586.x,1997,"https://scholar.google.com/scholar?cites=1030790701787619400&as_sdt=5,50&sciodt=0,50&hl=en",48
Civil Brand (2002) and the Prison Industrial Complex,Civil Brand (2002) and the Prison Industrial Complex,10.1111/j.1753-9137.2007.00007.x,2008,"https://scholar.google.com/scholar?q=related:aHSNmkW3mTcJ:scholar.google.com/&scioq=Civil+Brand+(2002)+and+the+Prison+Industrial+Complex,+Communication,+Culture+and+Critique,+Jacqueline+Bobo&hl=en&as_sdt=0,50",0
Evaluating the Evaluators,[CITATION] Evaluating the evaluators,10.1111/j.1460-2466.1976.tb01396.x,1976,"https://scholar.google.com/scholar?cites=6813539205530650284&as_sdt=5,50&sciodt=0,50&hl=en",15
The USIS Motion Picture Service,[CITATION] The USIS Motion Picture Service,10.1111/j.1460-2466.1954.tb00220.x,1954,"https://scholar.google.com/scholar?cites=4407674812698102514&as_sdt=5,50&sciodt=0,50&hl=en",2
The Advent of Multiple-Process Theories of Communication,The Advent of Multiple-Process Theories of Communication.,10.1111/j.1460-2466.1993.tb01282.x,1993,"https://scholar.google.com/scholar?cites=9723716943065788462&as_sdt=5,50&sciodt=0,50&hl=en",37
Persuasive Arguments Theory: A Test of Assumptions,Persuasive Arguments Theory A Test of Assumptions,10.1111/j.1468-2958.1989.tb00189.x,1989,"https://scholar.google.com/scholar?cites=4254042203511945136&as_sdt=5,50&sciodt=0,50&hl=en",61
Making Friends in Cyberspace,Making friends in cyberspace,10.1111/j.1083-6101.1996.tb00176.x,1996,"https://scholar.google.com/scholar?cites=12039346837692403063&as_sdt=5,50&sciodt=0,50&hl=en",2825
The Portrayal of the Drinking Process on Prime-Time Television,The portrayal of the drinking process on prime-time television.,10.1111/j.1460-2466.1981.tb01205.x,1981,"https://scholar.google.com/scholar?cites=2441744337661495177&as_sdt=5,50&sciodt=0,50&hl=en",114
Identification and the Influence of Cultural Stereotyping on Postvideogame Play Hostility,Identification and the influence of cultural stereotyping on postvideogame play hostility,10.1111/j.1468-2958.2009.01354.x,2009,"https://scholar.google.com/scholar?cites=1255800210560529885&as_sdt=5,50&sciodt=0,50&hl=en",64
Entertainment Politics as a Modernist Project in a Baudrillard World,Entertainment politics as a modernist project in a Baudrillard world,10.1093/ct/qty036,2019,"https://scholar.google.com/scholar?cites=7905078802124499546&as_sdt=5,50&sciodt=0,50&hl=en",20
